deck_name,name,number,set_total,amount,promo
Dark,Basic Darkness Energy,7,None,20,False
Dark,Basic Psychic Energy,5,None,6,False
Dark,Boomerang Energy,166,167,1,False
Dark,Mist Energy,161,162,1,False
Dark,Bloodmoon Ursaluna ex,141,167,1,False
Dark,Brute Bonnet,123,182,1,False
Dark,Darkrai,136,197,3,False
Dark,Hoopa ex,98,182,1,False
Dark,Inkay,33,64,2,False
Dark,Fezandipiti,96,167,1,False
Dark,Malamar,34,64,2,False
Dark,Roaring Moon ex,124,182,1,False
Dark,Ancient Booster Energy Capsule,140,162,1,False
Dark,Binding Mochi,55,64,1,False
Dark,Cook,147,167,2,False
Dark,Daisy's Help,158,165,1,False
Dark,Energy Search,172,198,1,False
Dark,Energy Switch,173,198,1,False
Dark,Energy Removal,92,102,1,False
Dark,Grabber,162,165,1,False
Dark,Hassel,151,167,1,False
Dark,Kieran,154,167,1,False
Dark,Lana's Aid,155,167,1,False
Dark,Letter of Encouragement,189,197,1,False
Dark,Leftovers,163,165,1,False
Dark,Miriam,179,198,1,False
Dark,Night Stretcher,61,64,1,False
Dark,Professor Sada's Vitality,170,182,1,False
Dark,Roark,173,182,1,False
Dark,Rock Chestplate,192,198,1,False
Dark,Switch,95,102,2,False
Dark,Xerosic's Machinations,64,64,2,False
