deck_name,name,number,set_total,amount,promo
Fire Fight,Fire Energy,98,102,20,False
Fire Fight,Basic Fire Energy,2,8,3,False
Fire Fight,Fighting Energy,97,102,4,False
Fire Fight,Charmander,7,91,2,False
Fire Fight,Charmander,9,25,1,False
Fire Fight,Charizard ex,125,197,1,False
Fire Fight,Charizard ex,228,197,1,False
Fire Fight,Cinderace ex,28,142,1,False
Fire Fight,Raboot,27,142,2,False
Fire Fight,Scorbunny,16,25,1,False
Fire Fight,Scorbunny,26,142,1,False
Fire Fight,Sparkling Crystal,142,142,1,False
Fire Fight,Rare Candy,191,198,3,False
Fire Fight,Switch,95,102,2,False
Fire Fight,Switch,194,198,1,False
Fire Fight,Youngster,198,198,2,False
Fire Fight,Gust of Wind,93,102,1,False
Fire Fight,Pokédex,87,102,1,False
Fire Fight,Great Ball,183,193,1,False
Fire Fight,Super Energy Removal,79,102,1,False
Fire Fight,Clavell,177,193,1,False
Fire Fight,Big Air Balloon,155,165,1,False
Fire Fight,Energy Retrieval,81,102,1,False
Fire Fight,Perrin,160,167,1,False
Fire Fight,Ultra Ball,196,198,1,False
Fire Fight,Nest Ball,181,198,1,False
Fire Fight,Bill,91,102,1,False
Fire Fight,Miriam,179,198,1,False
Fire Fight,Ryme,194,197,1,False
Fire Fight,Jacq,175,198,1,False
