deck_name,name,number,set_total,amount,promo
Lugia V,Archeops,147,195,4,False
Lugia V,Drapion V,118,196,1,False
Lugia V,Lugia V,138,195,4,False
Lugia V,Lugia Vstar,139,195,3,False
Lugia V,Lumineon V,40,172,2,False
Lugia V,Pumpkaboo,76,203,1,False
Lugia V,Radiant Tsareena,16,195,1,False
Lugia V,Slaking V,58,78,1,False
Lugia V,Snorlax,143,196,2,False
Lugia V,Wyrdeer V,134,189,1,False
Lugia V,Capturing Aroma,153,195,4,False
Lugia V,Nest Ball,181,198,2,False
Lugia V,Ultra Ball,196,198,4,False
Lugia V,Double Turbo Energy,151,172,4,False
Lugia V,Gift Energy,171,196,2,False
Lugia V,Jet Energy,190,193,4,False
Lugia V,Therapeutic Energy,193,193,2,False
Lugia V,V Guard Energy,169,195,2,False
Lugia V,Collapsed Stadium,137,172,2,False
Lugia V,Path to the Peak,148,198,2,False
Lugia V,Boss's Orders,172,193,3,False
Lugia V,Iono,185,193,3,False
Lugia V,Professor Burnet,SWSH167,None,1,False
Lugia V,Professor's Research,190,198,3,False
Lugia V,Choice Belt,176,193,2,False
