deck_name,name,number,set_total,amount,promo
Mew VStar,Genesect V,185,264,4,False
Mew VStar,Meloetta,124,264,1,False
Mew VStar,Mew V,113,264,4,False
Mew VStar,Mew Vmax,114,264,3,False
Mew VStar,Oricorio,42,264,1,False
Mew VStar,Battle VIP Pass,225,264,4,False
Mew VStar,Box of Disaster,154,196,1,False
Mew VStar,Cram-o-matic,229,264,4,False
Mew VStar,Escape Rope,125,163,1,False
Mew VStar,Forest Seal Stone,156,195,3,False
Mew VStar,Lost Vacuum,162,196,2,False
Mew VStar,Nest Ball,181,198,2,False
Mew VStar,Pal Pad,182,198,1,False
Mew VStar,Power Tablet,236,264,4,False
Mew VStar,Switch Cart,154,189,2,False
Mew VStar,Ultra Ball,196,198,4,False
Mew VStar,Double Turbo Energy,151,172,3,False
Mew VStar,Fusion Strike Energy,244,264,4,False
Mew VStar,Path to the Peak,148,198,1,False
Mew VStar,Lost City,161,196,2,False
Mew VStar,Crystal Cave,144,203,1,False
Mew VStar,Boss's Orders,172,193,2,False
Mew VStar,Elesa's Sparkle,233,264,2,False
Mew VStar,Iono,185,193,1,False
Mew VStar,Judge,176,198,1,False
Mew VStar,Choice Belt,176,193,2,False
